make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
NISSAN,NV200,2013,AUTOMATIC,PETROL,1590,97000,9400000
NISSAN,E25,2002,AUTOMATIC,DIESEL,2500,0,8200000
NISSAN,VANETTE,2000,AUTOMATIC,PETROL,1780,137000,5200000
NISSAN,VANETTE,1993,MANUAL,DIESEL,2400,290000,3050000
NISSAN,VANETTE,1995,MANUAL,DIESEL,2000,275000,3600000
NISSAN,CARAVAN,1992,MANUAL,DIESEL,2700,1111111,5850000
NISSAN,VANETTE,1992,MANUAL,DIESEL,1,155,2600000
NISSAN,CARAVAN GLL QD,2000,MANUAL,DIESEL,3200,3260000,6900000
NISSAN,CARAVAN E25,2011,AUTOMATIC,DIESEL,2950,212000,9500000
NISSAN,CARAVAN,1996,MANUAL,DIESEL,28000,35000,8550000
NISSAN,NV200,2015,AUTOMATIC,PETROL,1600,127500,10500000
NISSAN,VANETTE,1998,MANUAL,DIESEL,-,-,2950000
NISSAN,VANETTE,1981,MANUAL,DIESEL,-,-,1340000
NISSAN,VANETTE,1991,MANUAL,DIESEL,1950,198500,3200000
NISSAN,CARAVAN VRGE24,1991,MANUAL,DIESEL,2666,379594,5875000
NISSAN,CARAVAN E25,2004,AUTOMATIC,DIESEL,3200,400000,10600000
NISSAN,X-TRAIL,2000,AUTOMATIC,PETROL,1990,130000,5950000
NISSAN,4WD,1985,MANUAL,DIESEL,2500,22800,3685000
NISSAN,X-TRAIL,2001,AUTOMATIC,PETROL,2000,157000,5775000
NISSAN,QASHQAI,2018,AUTOMATIC,PETROL,1200,45000,13950000
NISSAN,X-TRAIL,2016,MANUAL,PETROL,2000,118000,12800000
NISSAN,X-TRAIL,2015,AUTOMATIC,HYBRID,1900,168000,12500000
NISSAN,NAVARA,2010,AUTOMATIC,DIESEL,2500,118659,54950000
NISSAN,DATSUN,1983,MANUAL,DIESEL,2164,3148512,2875000
NISSAN,D21,1993,MANUAL,DIESEL,2700,11111,5500000
NISSAN,NAVARA,2016,AUTOMATIC,DIESEL,2500,62000,17200000
SUZUKI,WAGON R FZ,2017,AUTOMATIC,HYBRID,660,94000,6850000
SUZUKI,SWIFT,2008,MANUAL,PETROL,-,-,4300000
SUZUKI,ALTO 800,2015,MANUAL,PETROL,800,80000,3975000
SUZUKI,ALTO K10,2012,MANUAL,PETROL,1000,213000,3390000
SUZUKI,A-STAR,2011,MANUAL,PETROL,1000,59000,4300000
SUZUKI,ZEN,2006,MANUAL,PETROL,1000,140000,2250000
SUZUKI,SPACIA,2016,MANUAL,PETROL,660,202500,6350000
SUZUKI,ALTO LXI,2008,MANUAL,PETROL,800,170000,2850000
SUZUKI,ALTO L,2024,AUTOMATIC,PETROL,660,3000,7650000
SUZUKI,ALTO,2007,MANUAL,PETROL,800,144000,3045000
SUZUKI,WAGON R FX,2023,AUTOMATIC,PETROL,650,13000,8190000
SUZUKI,WAGON R STINGRAY,2018,AUTOMATIC,PETROL,650,68000,7750000
SUZUKI,ALTO,2015,MANUAL,PETROL,800,94000,3800000
SUZUKI,WAGON R CUSTOM Z,2023,AUTOMATIC,HYBRID,650,4707,9975000
SUZUKI,ALTO,2011,MANUAL,PETROL,800,133450,3150000
SUZUKI,ALTO,2024,AUTOMATIC,HYBRID,650,5199,8050000
SUZUKI,ALTO 800 LXI,2014,MANUAL,PETROL,-,145000,3550000
SUZUKI,ALTO LXI,2015,MANUAL,PETROL,799,79619,3950000
SUZUKI,MARUTI EFI,2008,MANUAL,PETROL,800,130000,2175000
SUZUKI,SWIFT JAPAN,2007,AUTOMATIC,PETROL,1240,158296,5475000
SUZUKI,SWIFT,2012,MANUAL,PETROL,1197,86000,4890000
SUZUKI,ALTO 800,2014,MANUAL,PETROL,800,94000,3775000
SUZUKI,ALTO,2015,MANUAL,PETROL,1000,118000,3725000
SUZUKI,ALTO,2015,MANUAL,PETROL,800,89500,3825000
SUZUKI,ALTO 800 SPORT,2017,MANUAL,PETROL,800,46000,4790000
SUZUKI,CELERIO,2015,MANUAL,PETROL,1000,123000,4690000
SUZUKI,WAGON R STINGRAY,2017,AUTOMATIC,PETROL,650,60000,7475000
SUZUKI,WAGON R,2015,AUTOMATIC,PETROL,650,114000,6250000
SUZUKI,MARUTI,2011,MANUAL,PETROL,800,61000,2500000
SUZUKI,MARUTI,2006,MANUAL,PETROL,800,36000,2050000
SUZUKI,WAGON R STINGRAY SAFETY,2017,AUTOMATIC,PETROL,650,100000,7490000
SUZUKI,MARUTI ZEN,2005,MANUAL,PETROL,993,22800,2785000
SUZUKI,BALENO,2020,AUTOMATIC,PETROL,1000,150000,9250000
SUZUKI,ZEN,2006,MANUAL,PETROL,1000,-,2000000
SUZUKI,ALTO,2013,MANUAL,PETROL,650,1112,3650000
SUZUKI,ALTO,2011,MANUAL,PETROL,800,65000,3190000
SUZUKI,HUSTLER,2016,AUTOMATIC,PETROL,650,106000,7350000
SUZUKI,WAGON R,2018,AUTOMATIC,HYBRID,660,102000,7400000
SUZUKI,CIAZ,2015,MANUAL,DIESEL,1300,123000,6200000
SUZUKI,SWIFT,2008,AUTOMATIC,PETROL,1290,124260,6150000
SUZUKI,SWIFT,2006,MANUAL,PETROL,1300,210000,4675000
SUZUKI,WAGON R STINGRAY,2017,AUTOMATIC,PETROL,650,82000,7690000
SUZUKI,MARUTI,2011,MANUAL,PETROL,800,66979,2585000
SUZUKI,ALTO 800,2015,MANUAL,PETROL,800,61000,3900000
SUZUKI,MARUTI,2006,MANUAL,PETROL,800,79000,2190000
SUZUKI,MARUTI EFI,2006,MANUAL,PETROL,800,86000,1975000
SUZUKI,ALTO SPORT,2015,MANUAL,PETROL,800,92000,3990000
SUZUKI,ALTO,2016,MANUAL,PETROL,800,107221,3990000
SUZUKI,WAGON R FX SAFETY,2023,AUTOMATIC,PETROL,650,12000,8100000
SUZUKI,SPACIA,2016,AUTOMATIC,PETROL,660,60000,6295000
SUZUKI,ALTO 800,2015,MANUAL,PETROL,800,129000,3900000
SUZUKI,WAGON R FZ SAFETY,2017,AUTOMATIC,HYBRID,650,135200,7250000
SUZUKI,ALTO,2018,MANUAL,PETROL,800,45550,4675000
SUZUKI,ALTO,2015,MANUAL,PETROL,800,98000,3950000
SUZUKI,ALTO JAPAN,2004,AUTOMATIC,PETROL,650,125000,3825000
SUZUKI,MARUTI,2007,MANUAL,PETROL,800,80000,1990000
SUZUKI,ALTO,2015,MANUAL,PETROL,800,91188,3925000
SUZUKI,WAGON R STINGRAY TURBO,2018,AUTOMATIC,HYBRID,650,115000,7590000
SUZUKI,WAGON R,2018,AUTOMATIC,PETROL,-,115000,7090000
