Date,Make,Type,Title,Location,Mileage,Overview Price,Detail Price,Engine CC,YOM,Post Make,Model,Gear,Fuel Type,Post URL,Image URL
8/4/2025,suzuki,cars,Suzuki Alto 2016 Car,Gampaha,81000 (km),"Rs. 4,060,000","Rs. 4,060,000",800,2016,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-gampaha-10147362,https://riyasewana.com/thumb/thumbsuzuki-alto-2016-412232912881.jpg
8/4/2025,suzuki,cars,Suzuki Alto Lxi 2015 Car,Homagama,102000 (km),"Rs. 3,840,000","Rs. 3,840,000",800,2015,Suzuki,Alto Lxi,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-lxi-sale-homagama-10147339,https://riyasewana.com/thumb/thumbsuzuki-alto-lxi-41219044711.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 2006 Car,Kurunegala,75000 (km),"Rs. 2,250,000","Rs. 2,250,000",800,2006,Suzuki,Maruti,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-kurunegala-10147319,https://riyasewana.com/thumb/thumbsuzuki-maruti-412154822241.jpg
8/4/2025,suzuki,cars,Suzuki MARUTI 800 2011 Car,Malabe,127291 (km),"Rs. 2,545,000","Rs. 2,545,000",800,2011,Suzuki,MARUTI 800,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-800-sale-malabe-10147299,https://riyasewana.com/thumb/thumbsuzuki-maruti-800-4121242611.jpg
8/4/2025,suzuki,cars,Suzuki Spacia Custom XS Turbo 2024 Car,Kaduwela,,"Rs. 11,350,000","Rs. 11,350,000",650,2024,Suzuki,Spacia Custom XS Turbo,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-spacia-custom-sale-kaduwela-10147265,https://riyasewana.com/thumb/thumbsuzuki-spacia-custom-412073722921.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2011 Car,Bandarawela,65000 (km),"Rs. 3,250,000","Rs. 3,250,000",800,2011,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-bandarawela-10147238,https://riyasewana.com/thumb/thumbsuzuki-alto-4120301453123.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2015 Car,Kadawatha,141000 (km),"Rs. 3,900,000","Rs. 3,900,000",-,2015,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-kadawatha-10147237,https://riyasewana.com/thumb/thumbsuzuki-suzuki-alto-4120253521.jpg
8/4/2025,suzuki,cars,Suzuki Celerio VXI 2016 Car,Kesbewa,150000 (km),"Rs. 5,175,000","Rs. 5,175,000",1000,2016,Suzuki,Celerio VXI,Manual,Petrol,https://riyasewana.com/buy/suzuki-celerio-vxi-sale-kesbewa-10147236,https://riyasewana.com/thumb/thumbsuzuki-celerio-vxi-4120230731.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2015 Car,Ratnapura,80000 (km),Negotiable,Negotiable,800,2015,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-ratnapura-10147226,https://riyasewana.com/thumb/thumbsuzuki-alto-412011822871.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R FZ Safety 2018 Car,Nugegoda,85000 (km),Negotiable,Negotiable,650,2018,Suzuki,Wagon R FZ Safety,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-nugegoda-10147173,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2018-411551012511.jpg
8/4/2025,suzuki,cars,Suzuki Spacia 2024 Car,Kalutara,2000 (km),"Rs. 11,475,000","Rs. 11,475,000",660,2024,Suzuki,Spacia,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-spacia-sale-kalutara-10147171,https://riyasewana.com/thumb/thumbsuzuki-spacia-411543322671.jpg
8/4/2025,suzuki,cars,Suzuki Spacia Custom Turbo 2017 Car,Piliyandala,100000 (km),"Rs. 7,280,000","Rs. 7,280,000",650,2017,Suzuki,Spacia Custom Turbo,Automatic,Petrol,https://riyasewana.com/buy/suzuki-spacia-custom-sale-piliyandala-10147128,https://riyasewana.com/thumb/thumbsuzuki-spacia-custom-2017-411455412471.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Stingray 2019 Car,Kadawatha,87000 (km),"Rs. 8,250,000","Rs. 8,250,000",660,2019,Suzuki,Wagon R Stingray,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10147122,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2019-411443812211.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2016 Car,Hatton,101000 (km),"Rs. 4,250,000","Rs. 4,250,000",800,2016,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-hatton-10147115,https://riyasewana.com/thumb/thumbsuzuki-alto-41143594301.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Custom ZX 2024 Car,Nittambuwa,11730 (km),Negotiable,Negotiable,660,2024,Suzuki,Wagon R Custom ZX,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-nittambuwa-10147056,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2024-411363912651.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Stingray 2018 Car,Gampaha,87500 (km),"Rs. 7,925,000","Rs. 7,925,000",658,2018,Suzuki,Wagon R Stingray,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-10147042,https://riyasewana.com/thumb/thumbsuzuki-stingray-2018-411345112821.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Stingray 2017 Car,Horana,87000 (km),"Rs. 7,600,000","Rs. 7,600,000",650,2017,Suzuki,Wagon R Stingray,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-horana-10147012,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-411302851.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 800 2006 Car,Kandy,80000 (km),"Rs. 2,050,000","Rs. 2,050,000",800,2006,Suzuki,Maruti 800,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-800-sale-kandy-10146991,https://riyasewana.com/thumb/thumbsuzuki-suzuki-maruti-41127254731.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Safety 2018 Car,Ratnapura,,Negotiable,Negotiable,-,2018,Suzuki,Wagon R Safety,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-ratnapura-10146944,https://riyasewana.com/thumb/thumbsuzuki-wagonr-safety-41119354351.jpg
8/4/2025,suzuki,cars,Suzuki Spacia 2016 Car,Kandy,108000 (km),Negotiable,Negotiable,650,2016,Suzuki,Spacia,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-spacia-sale-kandy-10146924,https://riyasewana.com/thumb/thumbsuzuki-specia-41117244041.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Stingray J Style 2015 Car,Mirigama,124000 (km),"Rs. 6,375,000","Rs. 6,375,000",650,2015,Suzuki,Wagon R Stingray J Style,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-mirigama-10146920,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2015-411165012521.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R FZ Safety 2017 Car,Kaduwela,112000 (km),"Rs. 7,390,000","Rs. 7,390,000",660,2017,Suzuki,Wagon R FZ Safety,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-10146910,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-411155922921.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 2007 Car,Gampaha,73000 (km),"Rs. 2,200,000","Rs. 2,200,000(Ongoing Lease)",800,2007,Suzuki,Maruti,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-gampaha-10146902,https://riyasewana.com/thumb/thumbsuzuki-maruti-2007-411152212531.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R 2017 Car,Kaduwela,89450 (km),Negotiable,Negotiable,650,2017,Suzuki,Wagon R,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-10146881,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-41113054641.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2007 Car,Malabe,154000 (km),Negotiable,Negotiable,800,2007,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-malabe-10146796,https://riyasewana.com/thumb/thumbsuzuki-alto-410595717991.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 2006 Car,Kandy,102000 (km),"Rs. 2,150,000","Rs. 2,150,000",800,2006,Suzuki,Maruti,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-kandy-10146787,https://riyasewana.com/thumb/thumbsuzuki-maruti-2006-410570112391.jpg
8/4/2025,suzuki,cars,Suzuki MARUTI 1999 Car,Matara,11111 (km),"Rs. 1,690,000","Rs. 1,690,000",800,1999,Suzuki,MARUTI,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-matara-10146786,https://riyasewana.com/thumb/thumbsuzuki-maruti-1999-410565312301.jpg
8/4/2025,suzuki,cars,Suzuki Alto K10 2015 Car,Colombo,99000 (km),"Rs. 4,850,000","Rs. 4,850,000",1000,2015,Suzuki,Alto K10,Automatic,Petrol,https://riyasewana.com/buy/suzuki-alto-k10-sale-colombo-10146780,https://riyasewana.com/thumb/thumbsuzuki-alt-k10-410570024221.jpg
8/4/2025,suzuki,cars,Suzuki Maruti 2000 Car,Kadawatha,83000 (km),"Rs. 1,680,000","Rs. 1,680,000",800,2000,Suzuki,Maruti,Manual,Petrol,https://riyasewana.com/buy/suzuki-maruti-sale-kadawatha-10146774,https://riyasewana.com/thumb/thumbsuzuki-maruti-800-41054384951.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R Stingray 2017 Car,Katunayake,107000 (km),"Rs. 7,650,000","Rs. 7,650,000",660,2017,Suzuki,Wagon R Stingray,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-katunayake-10146759,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-4105216221.jpg
8/4/2025,suzuki,cars,Suzuki Spacia 2018 Car,Galle,65000 (km),"Rs. 8,690,000","Rs. 8,690,000",650,2018,Suzuki,Spacia,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-spacia-sale-galle-10146744,https://riyasewana.com/thumb/thumbsuzuki-wagonr-spacia-2018-410502512391.jpg
8/4/2025,suzuki,cars,Suzuki Spacia 2016 Car,Ragama,115 (km),Negotiable,Negotiable,650,2016,Suzuki,Spacia,Automatic,Petrol,https://riyasewana.com/buy/suzuki-spacia-sale-ragama-10146737,https://riyasewana.com/thumb/thumbsuzuki-spacia-4104937921.jpg
8/4/2025,suzuki,cars,Suzuki Alto L Safety 2023 Car,Maharagama,21000 (km),"Rs. 7,175,000","Rs. 7,175,000",660,2023,Suzuki,Alto L Safety,Automatic,Petrol,https://riyasewana.com/buy/suzuki-alto-l-sale-maharagama-10146725,https://riyasewana.com/thumb/thumbsuzuki-alto-l-2023-410484112381.jpg
8/4/2025,suzuki,cars,Suzuki Swift 2008 Car,Gampaha,130000 (km),"Rs. 5,875,000","Rs. 5,875,000",1240,2008,Suzuki,Swift,Automatic,Petrol,https://riyasewana.com/buy/suzuki-swift-sale-gampaha-10146723,https://riyasewana.com/thumb/thumbsuzuki-swift-410502717291.jpg
8/4/2025,suzuki,cars,Suzuki Alto 800 2014 Car,Kegalle,135000 (km),"Rs. 3,850,000","Rs. 3,850,000",800,2014,Suzuki,Alto 800,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-800-sale-kegalle-10146686,https://riyasewana.com/thumb/thumbsuzuki-alto-800-41043204663.jpg
8/4/2025,suzuki,cars,Suzuki Swift Rs Hybrid 2018 Car,Battaramulla,92500 (km),"Rs. 9,280,000","Rs. 9,280,000",1242,2018,Suzuki,Swift Rs Hybrid,Automatic,Petrol,https://riyasewana.com/buy/suzuki-swift-rs-sale-battaramulla-10146664,https://riyasewana.com/thumb/thumbsuzuki-swift-rs-410395222321.jpg
8/4/2025,suzuki,cars,Suzuki SPACIA PREMIUM 2023 Car,Negombo,1000 (km),Negotiable,Negotiable,660,2023,Suzuki,SPACIA PREMIUM,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-spacia-premium-sale-negombo-10146634,https://riyasewana.com/thumb/thumbsuzuki-spacia-premium-4103608411128.jpg
8/4/2025,suzuki,cars,Suzuki Alto 2015 Car,Matugama,107000 (km),"Rs. 3,950,000","Rs. 3,950,000",800,2015,Suzuki,Alto,Manual,Petrol,https://riyasewana.com/buy/suzuki-alto-sale-matugama-10146628,https://riyasewana.com/thumb/thumbsuzuki-alto-410351822131.jpg
8/4/2025,suzuki,cars,Suzuki WAGON R FX Safety 2024 Car,Gampaha,6500 (km),Negotiable,Negotiable,660,2024,Suzuki,WAGON R FX Safety,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-10146627,https://riyasewana.com/thumb/thumbsuzuki-suzuki-wagon-41034554881.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R FZ Safety 2017 Car,Kaduwela,85000 (km),"Rs. 7,390,000","Rs. 7,390,000",660,2017,Suzuki,Wagon R FZ Safety,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-10146596,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-410315322011.jpg
8/4/2025,suzuki,cars,Suzuki Wagon R 2025 Car,Kurunegala,390 (km),Negotiable,Negotiable,650,2025,Suzuki,Wagon R,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-10146583,https://riyasewana.com/thumb/thumbsuzuki-custom-z-41030204571.jpg
8/4/2025,suzuki,cars,Suzuki WAGON R 2023 Car,Nittambuwa,9000 (km),Negotiable,Negotiable,650,2023,Suzuki,WAGON R,Automatic,Petrol,https://riyasewana.com/buy/suzuki-wagon-r-sale-nittambuwa-10146538,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-41024404771.jpg
8/4/2025,suzuki,cars,Suzuki Hustler 2023 Car,Kurunegala,19000 (km),Negotiable,Negotiable,650,2023,Suzuki,Hustler,Automatic,Hybrid,https://riyasewana.com/buy/suzuki-hustler-sale-kurunegala-10146519,https://riyasewana.com/thumb/thumbsuzuki-j-style-41021364541.jpg
